id,Position,Track Name,Artist,Popularity
1,1,First Class,Jack Harlow,92
2,2,As It Was,Harry Styles,100
3,3,Heat Waves,Glass Animals,94
4,4,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,89
5,5,STAY (with Justin Bieber),The Kid LAROI,92
6,6,good 4 u,Olivia Rodrigo,94
7,7,Nail Tech,Jack Harlow,89
8,8,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,88
9,9,Super Gremlin,Kodak Black,77
10,10,Woman,Doja Cat,95
11,11,Ghost,Justin Bieber,92
12,12,No Role Modelz,J. Cole,89
13,13,Right On,Lil Baby,77
14,14,We Don't Talk About Bruno,Carolina Gaitán - La Gaita,92
15,15,Knife Talk (with 21 Savage ft. Project Pat),Drake,88
16,16,Need to Know,Doja Cat,91
17,17,Bam Bam (feat. Ed Sheeran),Camila Cabello,68
18,18,I Love You So,The Walters,93
19,19,THATS WHAT I WANT,Lil Nas X,94
20,20,In My Head,Lil Tjay,87
21,21,505,Arctic Monkeys,84
22,22,Dark Red,Steve Lacy,89
23,23,Boyfriend,Dove Cameron,93
24,24,See You Again (feat. Kali Uchis),"Tyler, The Creator",87
25,25,traitor,Olivia Rodrigo,92
26,26,family ties (with Kendrick Lamar),Baby Keem,81
27,27,Sweater Weather,The Neighbourhood,92
28,28,Wait a Minute!,WILLOW,88
29,29,Cold Heart - PNAU Remix,Elton John,77
30,30,Shivers,Ed Sheeran,94
31,31,Kiss Me More (feat. SZA),Doja Cat,87
32,32,pushin P (feat. Young Thug),Gunna,89
33,33,Monëy so big,Yeat,87
34,34,When You're Gone,Shawn Mendes,88
35,35,Lost,Frank Ocean,89
36,36,Happier Than Ever,Billie Eilish,91
37,37,Easy On Me,Adele,88
38,38,Wasted On You,Morgan Wallen,82
39,39,deja vu,Olivia Rodrigo,90
40,40,Numb Little Bug,Em Beihold,89
41,41,abcdefu,GAYLE,97
42,42,MIDDLE OF THE NIGHT,Elley Duhé,94
43,43,Light Switch,Charlie Puth,82
44,44,Broadway Girls (feat. Morgan Wallen),Lil Durk,74
45,45,Soy El Unico,Yahritza Y Su Esencia,0
46,46,NEW MAGIC WAND,"Tyler, The Creator",87
47,47,What Happened To Virgil (feat. Gunna),Lil Durk,81
48,48,MAMIII,Becky G,95
49,49,20 Min,Lil Uzi Vert,86
50,50,Better Days (NEIKED x Mae Muller x Polo G),NEIKED,88
